"","SHA Code","PCT Code","PCT Name","Treatment Function Code","Treatment Function",">0-1",">1-2",">2-3",">3-4",">4-5",">5-6",">6-7",">7-8",">8-9",">9-10",">10-11",">11-12",">12-13",">13-14",">14-15",">15-16",">16-17",">17-18",">18-19",">19-20",">20-21",">21-22",">22-23",">23-24",">24-25",">25-26",">26-27",">27-28",">28-29",">29-30",">30-31",">31-32",">32-33",">33-34",">34-35",">35-36",">36-37",">37-38",">38-39",">39-40",">40-41",">41-42",">42-43",">43-44",">44-45",">45-46",">46-47",">47-48",">48-49",">49-50",">50-51",">51-52","52 plus","Total number of incomplete pathways"
"64","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP120","ENT",94,91,81,83,71,80,87,62,57,61,43,42,40,30,28,22,23,9,5,5,2,0,3,1,1,3,2,0,1,1,2,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1037
"65","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP130","Ophthalmology",93,110,98,63,111,85,74,59,70,57,63,50,32,29,9,16,12,7,1,0,7,2,0,2,1,4,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1068
"66","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP140","Oral Surgery",26,29,23,24,14,14,20,8,8,11,9,11,8,8,4,6,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
"67","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP150","Neurosurgery",4,1,2,4,3,2,4,2,1,1,3,2,5,2,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,48
"68","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP160","Plastic Surgery",25,33,39,24,37,28,22,22,12,22,14,18,15,12,10,11,9,5,2,1,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,369
"69","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP170","Cardiothoracic Surgery",1,2,1,1,1,5,0,2,3,0,3,4,3,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"70","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP300","General Medicine",64,55,40,35,37,22,11,6,11,5,3,7,5,1,4,4,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322
"71","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP301","Gastroenterology",90,47,50,35,44,54,33,22,16,23,16,14,18,9,12,10,11,3,5,7,3,1,4,3,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,540
"72","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP320","Cardiology",61,63,56,36,40,39,24,17,14,14,7,6,6,11,3,2,5,8,1,0,3,1,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424
"73","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP330","Dermatology",52,61,54,38,40,30,31,30,27,24,19,9,5,1,6,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434
"74","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP340","Thoracic Medicine",1,4,2,2,0,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"75","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP400","Neurology",31,31,19,17,25,17,22,18,14,20,11,5,3,6,5,7,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,260
"76","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP410","Rheumatology",25,19,23,22,19,18,10,5,9,1,1,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
"77","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP430","Geriatric Medicine",25,21,17,19,14,8,10,1,2,2,1,1,4,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134
"78","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP502","Gynaecology",109,65,92,63,46,48,36,20,26,32,17,13,14,6,4,5,2,0,3,1,0,1,0,0,0,1,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,612
"79","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IP999","Total",1215,1174,1101,856,937,787,623,457,432,448,383,324,272,243,180,183,147,95,49,37,39,19,23,18,17,19,22,8,14,13,12,7,12,10,3,11,4,3,3,3,3,3,3,2,0,0,1,2,3,0,2,3,21,10246
"80","Q30","5E1","STOCKTON-ON-TEES TEACHING PCT","IPX01","Other",112,124,139,90,98,91,64,43,42,50,46,27,33,23,17,19,12,5,4,2,7,0,3,1,3,4,5,1,5,5,5,1,5,4,1,5,1,2,1,2,2,2,1,0,0,0,0,1,2,0,0,1,3,1114
"81","Q30","5J9","DARLINGTON PCT","IP100","General Surgery",61,54,41,42,31,35,35,19,14,24,18,12,10,12,7,5,5,1,2,1,1,0,2,0,1,2,0,1,2,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446
"82","Q30","5J9","DARLINGTON PCT","IP101","Urology",16,20,17,25,18,14,17,18,9,16,14,9,5,4,9,6,2,5,2,3,1,1,0,1,2,1,1,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,246
"83","Q30","5J9","DARLINGTON PCT","IP110","Trauma & Orthopaedics",86,72,101,52,49,49,62,31,21,30,37,22,15,16,12,9,8,7,2,6,0,2,1,2,5,5,1,4,2,1,2,0,4,8,4,2,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,739
"84","Q30","5J9","DARLINGTON PCT","IP120","ENT",34,30,25,17,18,17,15,17,6,16,12,7,5,2,1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
"85","Q30","5J9","DARLINGTON PCT","IP130","Ophthalmology",79,78,71,61,40,22,38,39,27,26,27,22,10,13,6,7,6,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,581
"86","Q30","5J9","DARLINGTON PCT","IP140","Oral Surgery",15,9,10,7,8,7,5,6,4,7,5,3,2,3,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"87","Q30","5J9","DARLINGTON PCT","IP150","Neurosurgery",7,4,10,7,7,3,3,6,6,7,2,5,4,2,5,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85
"88","Q30","5J9","DARLINGTON PCT","IP160","Plastic Surgery",10,16,11,6,9,7,12,6,6,2,9,5,3,1,3,8,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,129
"89","Q30","5J9","DARLINGTON PCT","IP170","Cardiothoracic Surgery",0,1,2,1,2,1,0,2,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"90","Q30","5J9","DARLINGTON PCT","IP300","General Medicine",14,13,8,9,7,8,6,10,4,8,5,6,3,0,1,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
"91","Q30","5J9","DARLINGTON PCT","IP301","Gastroenterology",22,23,17,10,13,12,12,13,9,11,5,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156
